SoldPrice;Type;YearBuilt;Area;Zip;Baths;Beds;GarageType;GarageSpaces;ParkingSpaces
165000;Condo;UNK;76;60077;2;2;Attached;1;0
175000;Condo;UNK;76;60077;2;2;Attached;1;0
245000;1 Story;1952;76;60077;1;2;Attached;1;1
136000;Condo;1964;76;60076;1;2;Attached;1;1
166000;Condo;2005;76;60077;1;1;Attached;1;1
175000;Condo;1975;76;60077;2;2;Attached;1;1
233000;Condo;1990;76;60076;2;2;Attached;1;1
239000;Condo;2005;76;60077;1;2;Attached;1;2
355000;1.5 Story;1963;76;60076;2;3;Attached;2;3
223000;1 Story;1955;76;60077;1;2;Attached;1;0
240000;1 Story;1955;76;60077;1;3;Attached;1;0
242000;1 Story;1955;76;60076;2;3;Attached;2;0
252000;1 Story;1952;76;60076;2;3;Attached;2;0
255100;1 Story;1952;76;60076;1;2;Attached;1;0
268000;1 Story;UNK;76;60076;1;3;Attached;1;0
270000;2 Stories;UNK;76;60077;2;3;Attached;1;0
290000;Split Level;1958;76;60076;2;3;Attached;1;0
310000;Split Level;1948;76;60077;1;3;Attached;2;0
311000;1 Story;1953;76;60076;2;2;Attached;1;0
312000;1 Story;1954;76;60076;2;3;Attached;01.maj;0
315000;1 Story;1954;76;60077;2;3;Attached;2;0
315000;1 Story;UNK;76;60076;2;3;Attached;2;0
320000;1 Story;1953;76;60076;2;3;Attached;2;0
320500;Split Level;1955;76;60077;2;3;Attached;2;0
320800;Split Level;1969;76;60077;2;3;Attached;2;0
331500;1 Story;UNK;76;60076;3;3;Attached;1;0
340000;1.5 Story;1959;76;60077;2;3;Attached;1;0
350000;Split Level w/ Sub;1962;76;60077;2;3;Attached;1;0
350000;2 Stories;1942;76;60077;2;2;Attached;2;0
365000;1 Story;1954;76;60076;2;3;Attached;01.maj;0
367000;Split Level;1959;76;60076;2;3;Attached;1;0
370000;2 Stories;1944;76;60077;2;4;Attached;2;0
384950;1 Story;1957;76;60076;2;3;Attached;1;0
389000;Split Level w/ Sub;1963;76;60076;3;4;Attached;1;0
390000;2 Stories;UNK;76;60076;1;3;Attached;1;0
400000;Split Level w/ Sub;1974;76;60076;2;4;Attached;2;0
405000;Split Level w/ Sub;1963;76;60076;2;4;Attached;1;0
420000;Split Level w/ Sub;1960;76;60076;3;5;Attached;2;0
424000;2 Stories;1955;76;60076;4;4;Attached;2;0
430000;1 Story;1955;76;60076;2;3;Attached;2;0
432000;Split Level w/ Sub;1956;76;60076;2;4;Attached;2;0
440000;2 Stories;1973;76;60077;2;4;Attached;2;0
450000;1 Story;1958;76;60076;2;3;Attached;02.maj;0
467500;2 Stories;1955;76;60076;4;4;Attached;2;0
470000;2 Stories;1948;76;60076;2;4;Attached;2;0
480000;1 Story;1955;76;60076;4;3;Attached;2;0
519500;2 Stories;2006;76;60076;5;5;Attached;2;0
532000;Split Level w/ Sub;1961;76;60076;2;3;Attached;2;0
540000;2 Stories;1978;76;60076;2;4;Attached;2;0
588000;1 Story;1956;76;60077;3;3;Attached;2;0
600000;Split Level w/ Sub;1976;76;60076;4;5;Attached;2;0
665000;1 Story;1990;76;60076;2;3;Attached;2;0
80000;Condo;1960;76;60077;1;1;Attached;1;0
105000;Condo;1974;76;60077;1;1;Attached;1;0
125000;Condo;1975;76;60077;1;1;Attached;1;0
129000;Condo;1973;76;60077;1;1;Attached;1;0
130000;Condo, Mid Rise (4-6 Stories);1975;76;60077;1;1;Attached;1;0
132500;Condo;1972;76;60077;2;2;Attached;1;0
142600;Condo;1977;76;60077;1;1;Attached;1;0
143500;Condo;1970;76;60077;1;2;Attached;1;0
145000;Condo;1940;76;60077;1;2;Attached;1;0
155000;Condo, Mid Rise (4-6 Stories);1975;76;60077;2;2;Attached;1;0
155000;Condo;1977;76;60077;2;2;Attached;34;0
159000;Condo;1974;76;60077;2;2;Attached;1;0
162000;Condo, Mid Rise (4-6 Stories);1977;76;60077;2;2;Attached;2;0
165000;Condo;UNK;76;60077;2;2;Attached;1;0
165000;Condo;1976;76;60077;2;2;Attached;1;0
167500;Condo, Mid Rise (4-6 Stories);1975;76;60077;2;2;Attached;1;0
169500;Condo;1974;76;60077;2;2;Attached;1;0
171000;Condo;1976;76;60077;2;2;Attached;1;0
175000;Condo;1976;76;60077;2;2;Attached;1;0
177000;Condo, Low Rise (1-3 Stories);1977;76;60076;2;2;Attached;2;0
178000;Condo;1976;76;60077;2;2;Attached;22;0
180000;Condo;1974;76;60077;2;2;Attached;1;0
185000;Condo;1977;76;60077;2;3;Attached;1;0
187000;Condo;1990;76;60076;2;2;Attached;1;0
188000;Condo;1966;76;60077;2;3;Attached;1;0
189000;Condo;1975;76;60077;2;3;Attached;2;0
190000;Mid Rise (4-6 Stories);1998;76;60076;2;2;Attached;1;0
195000;Condo;2001;76;60077;1;1;Attached;1;0
200000;Condo, Mid Rise (4-6 Stories);UNK;76;60077;2;2;Attached;1;0
200000;Condo;1976;76;60077;2;2;Attached;2;0
205000;Condo;1977;76;60077;2;2;Attached;34;0
210000;Condo;2006;76;60077;1;1;Attached;1;0
210000;Condo;1990;76;60076;2;2;Attached;1;0
210000;Condo;1976;76;60077;2;3;Attached;2;0
218000;Condo, Mid Rise (4-6 Stories);1998;76;60076;2;2;Attached;1;0
219000;Condo;2003;76;60077;1;2;Attached;1;0
225000;Condo;2006;76;60077;1;1;Attached;1;0
225000;Condo;2008;76;60077;1;1;Attached;1;0
230000;Condo;1979;76;60077;2;2;Attached;2;0
235000;Condo;2006;76;60076;1;1;Attached;1;0
249000;Condo;1989;76;60076;2;2;Attached;1;0
250000;Townhouse-2 Story;1981;76;60076;2;3;Attached;2;0
257500;Mid Rise (4-6 Stories);2005;76;60077;2;2;Attached;1;0
258000;Townhouse-2 Story, Townhouse 3+ Stories;1995;76;60077;2;2;Attached;1;0
260000;Condo;1978;76;60076;2;2;Attached;2;0
263000;Condo, Mid Rise (4-6 Stories);2005;76;60077;2;2;Attached;2;0
272000;Condo;2005;76;60077;2;2;Attached;1;0
275000;Condo;2003;76;60077;2;2;Attached;2;0
320000;Condo;2006;76;60077;2;3;Attached;1;0
340000;Condo, Mid Rise (4-6 Stories);2007;76;60077;2;3;Attached;2;0
